lon,lat,name,street name,short description
-123.108978,49.284416,Steam Clock,"305 Water St, Vancouver, BC V6B 1B9","A famous steam-powered clock and iconic symbol of the historic Gastown district."
-123.120464,49.282875,Vancouver Art Gallery,"750 Hornby St, Vancouver, BC V6Z 2H7","A major art museum featuring a vast collection of Canadian and international art."
-123.139999,49.300000,Stanley Park,"Vancouver, BC V6G 1Z4","A sprawling urban park offering scenic views, trails, and beaches."
-123.115669,49.279793,Vancouver Public Library,"350 W Georgia St, Vancouver, BC V6B 6B1","An architectural landmark resembling the Roman Colosseum, housing an extensive collection."
-123.111252,49.288803,Canada Place,"999 Canada Pl, Vancouver, BC V6C 3E1","A convention center with distinctive sail-like architecture, offering waterfront views."
-123.104104,49.279794,Dr. Sun Yat-Sen Classical Chinese Garden,"578 Carrall St, Vancouver, BC V6B 5K2","The first classical Chinese garden built outside of China, offering a tranquil retreat."
-123.103767,49.273251,Science World,"1455 Quebec St, Vancouver, BC V6A 3Z7","An interactive science museum housed in a geodesic dome, offering hands-on exhibits."
-123.120196,49.280096,Robson Street,"Robson St, Vancouver, BC","A bustling shopping district known for its fashion boutiques and diverse eateries."
-123.134170,49.270830,Granville Island,"1661 Duranleau St, Vancouver, BC V6H 3S3","A vibrant district featuring a public market, artisan shops, and theaters."
-123.112316,49.284611,Vancouver Lookout,"555 W Hastings St, Vancouver, BC V6B 4N6","An observation deck offering panoramic 360-degree views of the city and beyond."
-123.128890,49.270000,False Creek,"False Creek, Vancouver, BC","A short inlet featuring waterfront activities and scenic views of the city skyline."
-123.133049,49.272551,Granville Street Bridge,"Granville St Bridge, Vancouver, BC","A bridge offering panoramic views of the city and False Creek."
-123.136600,49.275400,Burrard Bridge,"Burrard St Bridge, Vancouver, BC","An Art Deco style bridge connecting downtown to the Kitsilano neighborhood."
-123.139999,49.273300,Vanier Park,"1000 Chestnut St, Vancouver, BC V6J 3J9","A waterfront park hosting several museums and offering scenic views."
-123.120196,49.280096,Orpheum Theatre,"601 Smithe St, Vancouver, BC V6B 3L4","A historic theater known for its grand architecture and performing arts events."
-123.118000,49.283000,Pacific Centre,"701 W Georgia St, Vancouver, BC V7Y 1G5","A large shopping mall featuring a variety of retailers and dining options."
-123.109000,49.279000,Queen Elizabeth Theatre,"630 Hamilton St, Vancouver, BC V6B 5N6","A major performing arts venue hosting concerts, operas, and Broadway shows."
-123.142000,49.294000,Lost Lagoon,"Stanley Park, Vancouver, BC","A serene lagoon offering bird-watching opportunities and scenic trails."
-123.121000,49.276500,Yaletown,"Yaletown, Vancouver, BC","A trendy neighborhood known for its chic boutiques, restaurants, and nightlife."
-123.112404,49.276684,BC Place,"777 Pacific Blvd, Vancouver, BC V6B 4Y8","A multi-purpose stadium hosting sports events and concerts."
