name,housenumber,unit,street,city,province,postcode,geometry
The Burrard,1100,,Burrard Street,Vancouver,BC,N/A,POINT (-123.12752482581558 49.279762572592716)
The Parker Hotel Vancouver,1379,,Howe Street,Vancouver,BC,V6Z 2R5,POINT (-123.13021081286936 49.27613812348277)
Shangri-La Vancouver,1228,,West Georgia Street,Vancouver,BC,N/A,POINT (-123.12376911467115 49.28571640242566)
Best Western Premier Chateau Granville Hotel & Suites & Conference Centre,1100,,Granville Street,Vancouver,BC,N/A,POINT (-123.12467721719895 49.277773827482584)
Granville Island Hotel,1253,,Johnston Street,Vancouver,BC,V6H 3R9,POINT (-123.13104944501578 49.26943867455592)
Sunset Inn & Suites,1111,,Burnaby Street,Vancouver,BC,V6E 1P4,POINT (-123.13243841822154 49.280075005254844)
St. Regis Hotel,602,,Dunsmuir Street,Vancouver,BC,N/A,POINT (-123.11591661080854 49.28299082618066)
Rosewood Hotel Georgia,801,,West Georgia Street,Vancouver,BC,N/A,POINT (-123.11904312421655 49.283548163761225)
Fairmont Hotel Vancouver,900,,West Georgia Street,Vancouver,BC,N/A,POINT (-123.12108709710218 49.283753449795356)
Metropolitan Hotel Vancouver,645,,Howe Street,Vancouver,BC,N/A,POINT (-123.11832328479174 49.28401058379647)
Pinnacle Hotel Harbourfront,1133,,West Hastings Street,Vancouver,BC,V6E 3T3,POINT (-123.12073446007854 49.28851306870758)
Marriott Pinnacle Downtown,1128,,West Hastings Street,Vancouver,BC,N/A,POINT (-123.12085580193391 49.287941323374255)
Coast Coal Harbour Hotel by APA,1180,,West Hastings Street,Vancouver,BC,V6E 4R5,POINT (-123.1221912938613 49.28835403353865)
Sandman Suites Vancouver on Davie,1160,,Davie Street,Vancouver,BC,V6E 1N1,POINT (-123.13275445299445 49.28102680440566)
Columbia Hotel,303,,Columbia Street,Vancouver,BC,N/A,POINT (-123.10248384701461 49.28209719420098)
Ramada Limited Downtown Vancouver,435,,West Pender Street,Vancouver,BC,N/A,POINT (-123.11229249289512 49.28335907601209)
Kingston Hotel,757,,Richards Street,Vancouver,BC,N/A,POINT (-123.117348157805 49.28081291436951)
Quality Inn & Suites Downtown Vancouver,1221,,Granville Street,Vancouver,BC,N/A,POINT (-123.12684766715905 49.27711349802917)
Ambassador Hotel,1212,,Granville Street,Vancouver,BC,N/A,POINT (-123.12622585527745 49.27675124060369)
Residence Inn Vancouver Downtown,1234,,Hornby Street,Vancouver,BC,V6Z 1W2,POINT (-123.12852210379461 49.27782833904883)
The Landis Hotel & Suites,1200,,Hornby Street,Vancouver,BC,V6Z 1W2,POINT (-123.1281672924156 49.27807480199871)
Wedgewood Hotel & Spa,845,,Hornby Street,Vancouver,BC,N/A,POINT (-123.12277373149232 49.282364332402494)
Barclay Hotel,1348,,Robson Street,Vancouver,BC,N/A,POINT (-123.12967467126929 49.287329003627484)
Best Western Plus Sands,1755,,Davie Street,Vancouver,BC,V6G 1W5,POINT (-123.14085477479718 49.28687979338347)
Greenbrier Hotel,1393,,Robson Street,Vancouver,BC,N/A,POINT (-123.12946150040973 49.28800570012272)
Lord Stanley Suites On The Park,1889,,Alberni Street,Vancouver,BC,N/A,POINT (-123.13533425033705 49.29313913881297)
English Bay Hotel,1150,,Denman Street,Vancouver,BC,V6G 2N1,POINT (-123.14087584648416 49.28765286853031)
Shato Inn,1825,,Comox Street,Vancouver,BC,N/A,POINT (-123.13978836738147 49.289126209016544)
Sylvia Hotel,1154,,Gilford Street,Vancouver,BC,V6G 2P6,POINT (-123.14244172598515 49.28866860537738)
Days Inn Downtown,921,,West Pender Street,Vancouver,BC,N/A,POINT (-123.11686935379461 49.286320179968094)
Cassandra Hotel,3075,,Kingsway,Vancouver,BC,V5R 5J8,POINT (-123.03963726014466 49.23602557102969)
Victorian Hotel,514,,Homer Street,Vancouver,BC,N/A,POINT (-123.11213672896365 49.28240604371038)
Grand Union Hotel,74,,West Hastings Street,Vancouver,BC,N/A,POINT (-123.10687025289137 49.28165299055134)
Delta Hotels Vancouver Downtown Suites,550,,West Hastings Street,Vancouver,BC,N/A,POINT (-123.11267650220296 49.28415423682045)
Best Western Plus Vancouver Airport Hotel,1041,,Southwest Marine Drive,Vancouver,BC,N/A,POINT (-123.13083465399254 49.20484916001361)
Loden Hotel,1177,,Melville Street,Vancouver,BC,N/A,POINT (-123.1231647812836 49.28758199033469)
Hilton Vancouver Downtown,433,,Robson Street,Vancouver,BC,V6B 6L9,POINT (-123.1169260021148 49.279864866708536)
Azur Legacy Collection Hotel,833,,West Pender Street,Vancouver,BC,N/A,POINT (-123.11622081435287 49.28589619104129)
Le Soleil Hotel and Suites,567,,Hornby Street,Vancouver,BC,N/A,POINT (-123.11831521819445 49.28530805228939)
Sheraton Vancouver Wall Centre Hotel,1088,,Burrard Street,Vancouver,BC,V6Z 2R9,POINT (-123.12626698190134 49.280311746004365)
L' Hermitage,788,,Richards Street,Vancouver,BC,V6B 3A4,POINT (-123.11696699999999 49.2805221)
Sandman Hotel Vancouver City Centre,180,,West Georgia Street,Vancouver,BC,V6B 4P4,POINT (-123.11296 49.27888579999999)
YWCA Hotel / Residence,733,,Beatty Street,Vancouver,BC,N/A,POINT (-123.11307450000001 49.2783539)
Georgian Court Hotel,773,,Beatty Street,Vancouver,BC,N/A,POINT (-123.11365899999998 49.27808049999999)
Hampton Inn & Suites by Hilton Vancouver-Downtown,111,,Robson Street,Vancouver,BC,N/A,POINT (-123.113987 49.27790699999999)
Holiday Inn and Suites Downtown,1110,,Howe Street,Vancouver,BC,V6Z 1R2,POINT (-123.1256597 49.27848279999999)
Rosedale on Robson Suite Hotel,838,,Hamilton Street,Vancouver,BC,V6B 6A2,POINT (-123.116222 49.2783489)
Century Plaza Hotel and Spa,1015,,Burrard Street,Vancouver,BC,V6Z 1Y5,POINT (-123.1270521 49.2808331)
The Sutton Place Hotel,845,,Burrard Street,Vancouver,BC,N/A,POINT (-123.12427599999998 49.282957999999994)
The Listel Hotel,1300,,Robson Street,Vancouver,BC,N/A,POINT (-123.1291922 49.2872256)
Blue Horizon Hotel,1225,,Robson Street,Vancouver,BC,N/A,POINT (-123.127255 49.286463599999976)
Fairmont Pacific Rim,1038,,Canada Place,Vancouver,BC,V6C 0B9,POINT (-123.11688299999999 49.2880994)
Fairmont Waterfront,900,,Canada Place,Vancouver,BC,N/A,POINT (-123.11363400000002 49.287270499999984)
Pan Pacific Vancouver,999,300,Canada Place,Vancouver,BC,N/A,POINT (-123.11304800000002 49.2878972)
Opus,322,,Davie Street,Vancouver,BC,N/A,POINT (-123.12248200000002 49.274579999999986)
Westin Bayshore,1601,,Bayshore Drive,Vancouver,BC,V6G 2V4,POINT (-123.12913500000002 49.292133099999994)
Hotel Belmont Vancouver,654,,Nelson Street,Vancouver,BC,N/A,POINT (-123.12284299999999 49.2789109)
Carmana Plaza,1128,,Alberni Street,Vancouver,BC,V6E 4H6,POINT (-123.124856 49.28570659999998)
Blu Hotel,177,,Robson Street,Vancouver,BC,N/A,POINT (-123.114459 49.27816049999999)
Atrium Hotel Vancouver,2889,,East Hastings Street,Vancouver,BC,V5K 2A1,POINT (-123.04520680000002 49.28137929999998)
Tropicana Suite Hotel,1361,,Robson Street,Vancouver,BC,V6E 1C6,POINT (-123.1292409 49.28776559999999)
Executive Hotels & Real Estate,1080,,Howe Street,Vancouver,BC,N/A,POINT (-123.125222 49.278898999999996)
Times Square Suites Hotel,1821,,Robson Street,Vancouver,BC,N/A,POINT (-123.1355903 49.2917164)
Moda Hotel,900,,Seymour Street,Vancouver,BC,N/A,POINT (-123.120444 49.27949629999999)
Level,1022,,Seymour Street,Vancouver,BC,N/A,POINT (-123.122394 49.278155199999986)
Hotel At The Waldorf,1489,,East Hastings Street,Vancouver,BC,N/A,POINT (-123.07433200000001 49.2814894)
Danny's Inn,317,,Cambie Street,Vancouver,BC,N/A,POINT (-123.10942440000001 49.283244999999994)
WorldMark Vancouver - The Canadian,1080,,Hornby Street,Vancouver,BC,N/A,POINT (-123.12574 49.27975169999999)
Hyatt Regency Vancouver,655,,Burrard Street,Vancouver,BC,V6C 2R7,POINT (-123.120638 49.28518519999999)
The Packing House,21,,Water Street,Vancouver,BC,N/A,POINT (-123.10482 49.28372679999999)
JW Marriott parq Vancouver,39,,Smithe Street,Vancouver,BC,N/A,POINT (-123.112766 49.27539029999999)
"the DOUGLAS, Autograph Collection",45,,Smithe Street,Vancouver,BC,N/A,POINT (-123.1139417 49.275713799999984)
Auberge Hotel Vancouver,837,,West Hastings Street,Vancouver,BC,N/A,POINT (-123.115258 49.28656859999999)
Paradox Main Entrance,1161,,West Georgia Street,Vancouver,BC,V6E 0C6,POINT (-123.1240507 49.28692499999998)
Exchange Hotel Vancouver,475,,Howe Street,Vancouver,BC,N/A,POINT (-123.115708 49.285615499999984)
Embarc Vancouver,1001,2951,Hornby Street,Vancouver,BC,N/A,POINT (-123.12540399999999 49.28050809999999)
Divya Sutra Suites on Robson Downtown Vancouver,1431,,Robson Street,Vancouver,BC,N/A,POINT (-123.13040300000002 49.288406099999996)
GEC Granville Suites,718,,Drake Street,Vancouver,BC,N/A,POINT (-123.1283603 49.2761123)
Skwachàys Lodge,31,,West Pender Street,Vancouver,BC,N/A,POINT (-123.10614300000002 49.28097509999998)
Holiday Inn Vancouver-Centre (Broadway),711,,West Broadway,Vancouver,BC,N/A,POINT (-123.120439 49.26352139999999)
Patricia Hotel,403,,East Hastings Street,Vancouver,BC,N/A,POINT (-123.09515109999998 49.2814701)
Rosellen Suites at Stanley Park,2030,,Barclay Street,Vancouver,BC,N/A,POINT (-123.141371 49.29216939999998)
Sonder at Revival,1771,,Comox Street,Vancouver,BC,N/A,POINT (-123.13876100000002 49.2884423)
Glory Hotel,204,,Carrall Street,Vancouver,BC,N/A,POINT (-123.1041 49.28300389999999)
